Geography_Name,geography_level,geography_level_sort_order,parent_geography_name,geography_name_order,State,Demographic_Level,Demographic_Name,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,Month_Week_Order,Week_Ending,MMWR_Year,MMWR_Week,MMWR_Day,Month_Week,MMWRWeek_Display_Order,Month_Display_Order,Current_Season_Week_Ending_Label,Influenza_Season,Point_Estimate,CI_HalfWidth,Upper_CI,Lower_CI,n_unweighted,n_weighted,Legend_Label,Current_Through
District of Columbia,State,2,National,10,District of Columbia,Overall,Overall,1,11,1040,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,23.8407,4.4562,28.2969,19.3846,79,876002,"2019-2020, District of Columbia. Overall: Overall",2020-06-27
Florida,State,2,National,11,Florida,Overall,Overall,1,11,1140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.7224,1.9074,19.6298,15.8149,27,528380,"2019-2020, Florida. Overall: Overall",2020-06-27
Georgia,State,2,National,12,Georgia,Overall,Overall,1,11,1240,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.1891,1.7021,17.8911,14.487,49,2653212,"2019-2020, Georgia. Overall: Overall",2020-06-27
Hawaii,State,2,National,13,Hawaii,Overall,Overall,1,11,1340,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,20.3725,2.0986,22.4711,18.2738,22,261417,"2019-2020, Hawaii. Overall: Overall",2020-06-27
Idaho,State,2,National,14,Idaho,Overall,Overall,1,11,1440,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,11.3738,2.1818,13.5556,9.192,20,510175,"2019-2020, Idaho. Overall: Overall",2020-06-27
Illinois,State,2,National,15,Illinois,Overall,Overall,1,11,1540,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.6382,1.8421,19.4803,15.796,82,2818909,"2019-2020, Illinois. Overall: Overall",2020-06-27
City of Chicago,Local,3,Illinois,16,Illinois,Overall,Overall,1,11,1640,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,21.7012,2.6946,24.3958,19.0066,26,998144,"2019-2020, City of Chicago. Overall: Overall",2020-06-27
Indiana,State,2,National,18,Indiana,Overall,Overall,1,11,1840,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,14.5495,1.8026,16.3521,12.7469,52,1696958,"2019-2020, Indiana. Overall: Overall",2020-06-27
Iowa,State,2,National,19,Iowa,Overall,Overall,1,11,1940,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.0937,3.8358,20.9296,13.2579,38,596997,"2019-2020, Iowa. Overall: Overall",2020-06-27
Kansas,State,2,National,20,Kansas,Overall,Overall,1,11,2040,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,13.3853,1.8643,15.2495,11.521,14,99994,"2019-2020, Kansas. Overall: Overall",2020-06-27
Kentucky,State,2,National,21,Kentucky,Overall,Overall,1,11,2140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,15.5224,2.1186,17.641,13.4038,30,1014503,"2019-2020, Kentucky. Overall: Overall",2020-06-27
Louisiana,State,2,National,22,Louisiana,Overall,Overall,1,11,2240,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.3705,1.6921,19.0626,15.6784,21,340489,"2019-2020, Louisiana. Overall: Overall",2020-06-27
Maine,State,2,National,23,Maine,Overall,Overall,1,11,2340,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.4476,4.285,20.7325,12.1627,42,413597,"2019-2020, Maine. Overall: Overall",2020-06-27
Maryland,State,2,National,24,Maryland,Overall,Overall,1,11,2440,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,22.1558,5.8612,28.017,16.2946,58,918008,"2019-2020, Maryland. Overall: Overall",2020-06-27
Massachusetts,State,2,National,25,Massachusetts,Overall,Overall,1,11,2540,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,19.4881,1.9048,21.393,17.5833,26,832502,"2019-2020, Massachusetts. Overall: Overall",2020-06-27
Michigan,State,2,National,26,Michigan,Overall,Overall,1,11,2640,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,15.784,1.6881,17.4721,14.0959,48,2102537,"2019-2020, Michigan. Overall: Overall",2020-06-27
Minnesota,State,2,National,27,Minnesota,Overall,Overall,1,11,2740,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.0128,1.9564,18.9692,15.0563,40,1863959,"2019-2020, Minnesota. Overall: Overall",2020-06-27
Mississippi,State,2,National,28,Mississippi,Overall,Overall,1,11,2840,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,12.537,2.0571,14.5941,10.4799,90,1340016,"2019-2020, Mississippi. Overall: Overall",2020-06-27
Missouri,State,2,National,29,Missouri,Overall,Overall,1,11,2940,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,15.6867,2.1,17.7867,13.5868,107,2116800,"2019-2020, Missouri. Overall: Overall",2020-06-27
Montana,State,2,National,30,Montana,Overall,Overall,1,11,3040,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,11.5054,1.7538,13.2593,9.7516,40,326821,"2019-2020, Montana. Overall: Overall",2020-06-27
Nebraska,State,2,National,31,Nebraska,Overall,Overall,1,11,3140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.4035,3.7017,20.1052,12.7018,41,390209,"2019-2020, Nebraska. Overall: Overall",2020-06-27
Nevada,State,2,National,32,Nevada,Overall,Overall,1,11,3240,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,13.4641,1.6952,15.1593,11.7689,10,597094,"2019-2020, Nevada. Overall: Overall",2020-06-27
New Hampshire,State,2,National,33,New Hampshire,Overall,Overall,1,11,3340,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.4269,2.0238,18.4506,14.4031,47,431494,"2019-2020, New Hampshire. Overall: Overall",2020-06-27
New Jersey,State,2,National,34,New Jersey,Overall,Overall,1,11,3440,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,21.9265,2.1357,24.0622,19.7909,73,3267575,"2019-2020, New Jersey. Overall: Overall",2020-06-27
